       .  →  Punto posición 30, linea 19
       .  →  Punto posición 52, linea 19
       .  →  Punto posición 34, linea 20
       .  →  Punto posición 23, linea 25
       .  →  Punto posición 27, linea 25
       .  →  Punto posición 23, linea 26
       .  →  Punto posición 27, linea 26
       .  →  Punto posición 105, linea 27
       .  →  Punto posición 27, linea 29
       .  →  Punto posición 30, linea 30
       .  →  Punto posición 55, linea 30
       .  →  Punto posición 80, linea 30
       .  →  Punto posición 30, linea 31
       .  →  Punto posición 55, linea 31
       .  →  Punto posición 80, linea 31
       .  →  Punto posición 30, linea 32
       .  →  Punto posición 23, linea 40
       .  →  Punto posición 27, linea 40
       .  →  Punto posición 73, linea 40
       .  →  Punto posición 29, linea 41
       .  →  Punto posición 30, linea 42
       .  →  Punto posición 52, linea 42
       .  →  Punto posición 34, linea 43
       .  →  Punto posición 497, linea 61
       .  →  Punto posición 43, linea 64
       .  →  Punto posición 47, linea 64
       .  →  Punto posición 95, linea 65
       .  →  Punto posición 49, linea 66
       .  →  Punto posición 49, linea 67
       .  →  Punto posición 71, linea 67
       .  →  Punto posición 51, linea 68
       .  →  Punto posición 35, linea 74
       .  →  Punto posición 43, linea 79
       .  →  Punto posición 47, linea 79
       .  →  Punto posición 95, linea 80
       .  →  Punto posición 49, linea 81
       .  →  Punto posición 49, linea 82
       .  →  Punto posición 71, linea 82
       .  →  Punto posición 51, linea 83
       .  →  Punto posición 19, linea 91
       .  →  Punto posición 23, linea 91
       .  →  Punto posición 19, linea 92
       .  →  Punto posición 23, linea 92
       .  →  Punto posición 19, linea 93
       .  →  Punto posición 23, linea 93
       .  →  Punto posición 31, linea 96
       .  →  Punto posición 31, linea 105
       .  →  Punto posición 35, linea 105
       .  →  Punto posición 78, linea 105
       .  →  Punto posición 25, linea 109
       .  →  Punto posición 50, linea 109
       =  →  Operador de asignación posición 20, linea 6
       =  →  Operador de asignación posición 20, linea 7
       =  →  Operador de asignación posición 27, linea 9
       =  →  Operador de asignación posición 25, linea 18
       =  →  Operador de asignación posición 26, linea 20
       =  →  Operador de asignación posición 23, linea 21
       =  →  Operador de asignación posición 66, linea 26
       =  →  Operador de asignación posición 79, linea 26
       =  →  Operador de asignación posición 31, linea 27
       =  →  Operador de asignación posición 50, linea 27
       =  →  Operador de asignación posición 65, linea 27
       =  →  Operador de asignación posición 33, linea 28
       =  →  Operador de asignación posición 23, linea 29
       =  →  Operador de asignación posición 31, linea 33
       =  →  Operador de asignación posición 35, linea 34
       =  →  Operador de asignación posición 33, linea 35
       =  →  Operador de asignación posición 25, linea 41
       =  →  Operador de asignación posición 26, linea 43
       =  →  Operador de asignación posición 23, linea 44
       =  →  Operador de asignación posición 27, linea 48
       =  →  Operador de asignación posición 29, linea 51
       =  →  Operador de asignación posición 29, linea 54
       =  →  Operador de asignación posición 29, linea 58
       =  →  Operador de asignación posición 34, linea 62
       =  →  Operador de asignación posición 35, linea 62
       =  →  Operador de asignación posición 45, linea 66
       =  →  Operador de asignación posición 43, linea 68
       =  →  Operador de asignación posición 40, linea 69
       =  →  Operador de asignación posición 29, linea 71
       =  →  Operador de asignación posición 29, linea 74
       =  →  Operador de asignación posición 34, linea 77
       =  →  Operador de asignación posición 35, linea 77
       =  →  Operador de asignación posición 45, linea 81
       =  →  Operador de asignación posición 43, linea 83
       =  →  Operador de asignación posición 40, linea 84
       =  →  Operador de asignación posición 29, linea 86
       =  →  Operador de asignación posición 31, linea 89
       =  →  Operador de asignación posición 92, linea 91
       =  →  Operador de asignación posición 27, linea 95
       =  →  Operador de asignación posición 27, linea 96
       =  →  Operador de asignación posición 35, linea 106
       =  →  Operador de asignación posición 31, linea 108
       |  →  Operador de suma lógica binaria posición 43, linea 30
       |  →  Operador de suma lógica binaria posición 44, linea 30
       |  →  Operador de suma lógica binaria posición 68, linea 30
       |  →  Operador de suma lógica binaria posición 69, linea 30
       |  →  Operador de suma lógica binaria posición 93, linea 30
       |  →  Operador de suma lógica binaria posición 43, linea 31
       |  →  Operador de suma lógica binaria posición 44, linea 31
       |  →  Operador de suma lógica binaria posición 68, linea 31
       |  →  Operador de suma lógica binaria posición 69, linea 31
       |  →  Operador de suma lógica binaria posición 93, linea 31
       |  →  Operador de suma lógica binaria posición 38, linea 109
       |  →  Operador de suma lógica binaria posición 39, linea 109
       !  →  Operador de negación unario posición 22, linea 19
       !  →  Operador de negación unario posición 32, linea 35
       !  →  Operador de negación unario posición 22, linea 42
       !  →  Operador de negación unario posición 41, linea 67
       !  →  Operador de negación unario posición 41, linea 82
       !  →  Operador de negación unario posición 30, linea 89
       !  →  Operador de negación unario posición 30, linea 108
       ?  →  Operador condicional posición 44, linea 19
       ?  →  Operador condicional posición 54, linea 19
       ?  →  Operador condicional posición 66, linea 25
       ?  →  Operador condicional posición 44, linea 42
       ?  →  Operador condicional posición 54, linea 42
       ?  →  Operador condicional posición 63, linea 67
       ?  →  Operador condicional posición 73, linea 67
       ?  →  Operador condicional posición 63, linea 82
       ?  →  Operador condicional posición 73, linea 82
       ?  →  Operador condicional posición 70, linea 92

       ==  →  Operador igual que posición 34, linea 62
       ==  →  Operador igual que posición 34, linea 77
       !=  →  Operador diferente que posición 32, linea 35
       !=  →  Operador diferente que posición 30, linea 89
       !=  →  Operador diferente que posición 30, linea 108
       ||  →  Operador lógico OR posición 43, linea 30
       ||  →  Operador lógico OR posición 68, linea 30
       ||  →  Operador lógico OR posición 43, linea 31
       ||  →  Operador lógico OR posición 68, linea 31
       ||  →  Operador lógico OR posición 38, linea 109
       //  →  Comentario de una linea posición 27, linea 2
       //  →  Comentario de una linea posición 13, linea 12
       //  →  Comentario de una linea posición 13, linea 22
       //  →  Comentario de una linea posición 13, linea 37
       //  →  Comentario de una linea posición 13, linea 45
       /*  →  Comentario de una o más líneas inicia posición 13, linea 13
       /*  →  Comentario de una o más líneas inicia posición 25, linea 61

       Palabra reservada 'boolean', linea 9
       Palabra reservada 'case', linea 50
       Palabra reservada 'case', linea 53
       Palabra reservada 'case', linea 56
       Palabra reservada 'case', linea 57
       Palabra reservada 'case', linea 60
       Palabra reservada 'case', linea 73
